ttl;humidity;deviceId;co2;temperature;timestamp;datetime
1794153999.0;39.4;esp32-001;964.0;21.61;1762103986673.0;2025-11-02 17:19:46.672999936
1794154000.0;39.2;esp32-001;955.0;21.68;1762104003453.0;2025-11-02 17:20:03.452999936
1794154001.0;39.4;esp32-001;957.0;21.75;1762104020232.0;2025-11-02 17:20:20.232000000
1794158007.0;;esp32-001;974.0;22.26;1762104037118.0;2025-11-02 17:20:37.118000128
1794158009.0;;esp32-001;968.0;22.26;1762104054007.0;2025-11-02 17:20:54.007000064
1794158010.0;;esp32-001;950.0;22.26;1762104070894.0;2025-11-02 17:21:10.894000128
1794158011.0;;esp32-001;922.0;22.26;1762104087786.0;2025-11-02 17:21:27.785999872
1794158012.0;;esp32-001;928.0;22.28;1762104104679.0;2025-11-02 17:21:44.679000064
1794158013.0;;esp32-001;918.0;22.29;1762104121588.0;2025-11-02 17:22:01.588000000
1794158014.0;;esp32-001;922.0;22.32;1762104138475.0;2025-11-02 17:22:18.475000064
1794158015.0;;esp32-001;914.0;22.33;1762104155363.0;2025-11-02 17:22:35.363000064
1794158015.0;;esp32-001;914.0;22.36;1762104172258.0;2025-11-02 17:22:52.257999872
1794158016.0;;esp32-001;903.0;22.39;1762104189147.0;2025-11-02 17:23:09.147000064
1794158018.0;55.8;esp32-001;1604.0;20.65;1762104205926.0;2025-11-02 17:23:25.926000128
1794158018.0;53.1;esp32-001;1880.0;20.89;1762104222705.0;2025-11-02 17:23:42.704999936
1794158019.0;51.1;esp32-001;2874.0;21.78;1762104239483.0;2025-11-02 17:23:59.483000064
1794158020.0;57.9;esp32-001;2800.0;21.99;1762104256261.0;2025-11-02 17:24:16.260999936
1794158021.0;;esp32-001;2533.0;22.14;1762104273079.0;2025-11-02 17:24:33.079000064
1794158022.0;50.4;esp32-001;4275.0;22.3;1762104290325.0;2025-11-02 17:24:50.324999936
1794158023.0;;esp32-001;2395.0;22.45;1762104307647.0;2025-11-02 17:25:07.647000064
1794158024.0;;esp32-001;1410.0;22.5;1762104324512.0;2025-11-02 17:25:24.512000000
1794158025.0;;esp32-001;1128.0;22.55;1762104341344.0;2025-11-02 17:25:41.344000000
1794158026.0;;esp32-001;998.0;22.58;1762104358230.0;2025-11-02 17:25:58.230000128
1794158027.0;;esp32-001;0.0;0.0;1762104376016.0;2025-11-02 17:26:16.016000000
1794158027.0;;esp32-001;1646.0;22.84;1762104392852.0;2025-11-02 17:26:32.852000000
1794158028.0;;esp32-001;0.0;0.0;1762104410227.0;2025-11-02 17:26:50.227000064
1794158029.0;;esp32-001;2322.0;23.03;1762104427588.0;2025-11-02 17:27:07.588000000
1794158030.0;;esp32-001;1020.0;22.95;1762104444474.0;2025-11-02 17:27:24.473999872
1794158031.0;;esp32-001;1779.0;22.86;1762104461829.0;2025-11-02 17:27:41.828999936
1794158032.0;;esp32-001;1277.0;22.76;1762104478715.0;2025-11-02 17:27:58.715000064
1794158033.0;;esp32-001;1366.0;22.67;1762104495604.0;2025-11-02 17:28:15.604000000
1794158033.0;;esp32-001;1486.0;22.6;1762104512494.0;2025-11-02 17:28:32.494000128
1794158034.0;47.4;esp32-001;1584.0;22.54;1762104529273.0;2025-11-02 17:28:49.272999936
1794158035.0;;esp32-001;1690.0;22.5;1762104546072.0;2025-11-02 17:29:06.072000000
1794158036.0;46.1;esp32-001;1816.0;22.52;1762104562851.0;2025-11-02 17:29:22.851000064
1794158037.0;48.2;esp32-001;2014.0;22.59;1762104579627.0;2025-11-02 17:29:39.627000064
1794158038.0;;esp32-001;1977.0;22.69;1762104596514.0;2025-11-02 17:29:56.513999872
1794158039.0;;esp32-001;3945.0;23.09;1762104613813.0;2025-11-02 17:30:13.812999936
1794158040.0;;esp32-001;2224.0;23.23;1762104630624.0;2025-11-02 17:30:30.624000000
1794158041.0;;esp32-001;2178.0;23.34;1762104647459.0;2025-11-02 17:30:47.459000064
1794158042.0;;esp32-001;3807.0;23.5;1762104664778.0;2025-11-02 17:31:04.777999872
1794158042.0;;esp32-001;0.0;0.0;1762104682102.0;2025-11-02 17:31:22.102000128
1794158043.0;;esp32-001;2819.0;24.02;1762104698917.0;2025-11-02 17:31:38.916999936
1794158044.0;39.2;esp32-001;797.0;22.19;1762617984000.0;2025-11-08 16:06:24.000000000
1794158045.0;39.3;esp32-001;1061.0;22.35;1762618016000.0;2025-11-08 16:06:56.000000000
1794158046.0;38.9;esp32-001;1022.0;22.39;1762618030000.0;2025-11-08 16:07:10.000000000
1794158047.0;39.0;esp32-001;992.0;22.4;1762618044000.0;2025-11-08 16:07:24.000000000
1794158048.0;39.3;esp32-001;961.0;22.46;1762618059000.0;2025-11-08 16:07:39.000000000
1794158049.0;44.5;esp32-001;0.0;24.18;1762619034000.0;2025-11-08 16:23:54.000000000
1794158050.0;43.7;esp32-001;798.0;24.75;1762619223000.0;2025-11-08 16:27:03.000000000
1794158050.0;42.2;esp32-001;981.0;22.83;1762622006000.0;2025-11-08 17:13:26.000000000
1794158238.0;38.7;esp32-001;1043.0;23.94;1762622237000.0;2025-11-08 17:17:17.000000000
1794158426.0;38.5;esp32-001;927.0;24.41;1762622426000.0;2025-11-08 17:20:26.000000000
1794158615.0;;esp32-001;935.0;24.95;1762622614000.0;2025-11-08 17:23:34.000000000
1794628946.0;;esp32-001;1267.0;23.07;1763092941000.0;2025-11-14 04:02:21.000000000
1794636938.0;37.9;esp32-001;1316.0;21.72;1763100937000.0;2025-11-14 06:15:37.000000000
1794637127.0;39.6;esp32-001;1277.0;22.61;1763101126000.0;2025-11-14 06:18:46.000000000
1794637316.0;39.7;esp32-001;1355.0;23.09;1763101315000.0;2025-11-14 06:21:55.000000000
1794637506.0;41.1;esp32-001;1536.0;23.35;1763101503000.0;2025-11-14 06:25:03.000000000
1794637696.0;41.7;esp32-001;2121.0;23.54;1763101696000.0;2025-11-14 06:28:16.000000000
1794637885.0;42.0;esp32-001;1584.0;23.63;1763101884000.0;2025-11-14 06:31:24.000000000
1794638074.0;43.9;esp32-001;1612.0;23.72;1763102073000.0;2025-11-14 06:34:33.000000000
1794638263.0;43.5;esp32-001;1628.0;23.78;1763102261000.0;2025-11-14 06:37:41.000000000
1794638451.0;43.3;esp32-001;1712.0;23.82;1763102450000.0;2025-11-14 06:40:50.000000000
1794638829.0;44.3;esp32-001;1767.0;23.86;1763102639000.0;2025-11-14 06:43:59.000000000
1794638830.0;44.3;esp32-001;1802.0;23.8;1763102827000.0;2025-11-14 06:47:07.000000000
